address,avgPric,branchName,distance,latitude,longitude,shop_id,shop_name,style,tLogo
宜秀区天柱山路华润苏果一楼,,安庆苏果店,259,30.542688,117.06122,248854,德庄魔肚大火锅,火锅,https://m.mwfile.cn/mm1013/image/20180714/112558_3b68379444.jpg!/fwfh/240x180
安庆市大观区湖心中路与市府路交汇处汇峰广场,,汇峰广场店,2229,30.5247430258,117.0555143245,214140,小菜园,徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
市府路1号汇峰广场4楼,,安庆店,2261,30.52407,117.05677,19114,骨味坊,火锅,http://img1.mwfile.cn/Files/201502/0621/1423228885203.jpg?ID=318454
安徽省安庆市大观区集贤南路八佰伴商城5楼5003小龙坎老火锅,,安庆店,2816,30.5228082595,117.0467882718,149120,小龙坎老火锅,火锅,http://img3.mwfile.cn/oa/upload/201610/0816/57f8b517c9598.jpg
安庆华茂1958C区2号楼莽子火锅,,安庆店,2867,30.521654129,117.0478363037,188033,莽子火锅,火锅,http://img3.mwfile.cn/oa/upload/201709/1410/59b9e8d831031.jpg
安徽省安庆市迎江区菱湖南路与渡江路交汇吾悦广场4楼,,吾悦店,3413,30.513298,117.057366,202984,大渝火锅,火锅,https://m.mwfile.cn/mm1003/image/20180223/172525_3bc220e24d.jpg
大观区八佰伴五楼,,八佰伴店,3605,30.5168093,117.04238595,146759,小菜园,新徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
安徽安庆迎江区集贤南路八佰伴5楼餐饮区,,安庆八佰伴店,3591,30.516966,117.042366,236248,富兰克林自助餐厅,自助餐,https://m.mwfile.cn/mm1013/image/20180609/201204_8a94e08a69.jpg!/fwfh/240x180
安徽安庆迎江区菱湖南路新城吾悦广场金街第吾大道A口,,吾悦广场旗舰店,3587,30.513308,117.076965,203014,小龙坎老火锅,火锅,https://m.mwfile.cn/mm1013/image/20171217/184529_4e8b687f91.jpg
迎江区华中路新城吾悦广场内,,新城吾悦店,3476,30.514265,117.07662,145630,德庄魔肚大火锅,火锅,http://img3.mwfile.cn/oa/upload/201608/3013/57c51a58d009a.jpg
迎江区八佰伴餐饮区,,安庆八佰伴店,3597,30.517065,117.0421,147236,韩宫宴,烧烤,https://m.mwfile.cn/mm1003/image/20180408/163918_48ea9ec1f3.jpg
安徽省 安庆市 大观区 集贤路街道八佰伴商场5楼遇见法式铁板餐厅,,八佰伴店,3565,30.517238655,117.0423969381,149629,中国重庆老版火锅,重庆老版火锅,http://img1.mwfile.cn/webpic/201712/0615/5a27a25c64f13.jpg
安徽省安庆市迎江区菱湖南路与龙眠山南路交叉口,,吾悦广场店,3552,30.513530731201175,117.07659912109375,289443,马路边边串串香安庆,火锅,https://m.mwfile.cn/mm1013/image/20181111/210336_782938078a.jpg!/fwfh/240x180
迎江区吾悦广场餐饮区,,安庆吾悦广场店,3566,30.513332,117.076404,148196,东北灶,中餐,https://m.mwfile.cn/mm1003/image/20180408/113323_44214583f1.jpg
安徽省安庆市桐城市龙池路与南三路交口,,桐城方圆荟店,54928,31.03137,116.97363,284861,小菜园,其他美食,http://img1.mwfile.cn/webpic/201707/2516/5976fabc2fa5f.jpg!/fwfh/240x180
迎江区吾悦广场4022-1,,吾悦广场店,3644,30.513083,117.07792,150401,骨味坊,东北菜,http://img1.mwfile.cn/Files/201502/0621/1423228885203.jpg?ID=318454
安徽省安庆市怀宁县经一路与纬六路交汇处,,德辰时代广场店,30979,30.74668,116.8422,313337,小菜园,家常菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc2fa5f.jpg!/fwfh/240x180
江苏省泰州市姜堰区人民北路锦宸大酒店对面,,万家福广场店,364715,32.50968551635744,120.14407348632814,304724,味府,本帮菜,http://img1.mwfile.cn/Files/201508/0418/1438685778627.jpg?ID=1038766!/fwfh/240x180
宜秀区天柱山路华润苏果一楼,,安庆苏果店,259,30.542688,117.06122,248854,德庄魔肚大火锅,火锅,https://m.mwfile.cn/mm1013/image/20180714/112558_3b68379444.jpg!/fwfh/240x180
安庆市大观区湖心中路与市府路交汇处汇峰广场,,汇峰广场店,2229,30.5247430258,117.0555143245,214140,小菜园,徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
市府路1号汇峰广场4楼,,安庆店,2261,30.52407,117.05677,19114,骨味坊,火锅,http://img1.mwfile.cn/Files/201502/0621/1423228885203.jpg?ID=318454
安徽省安庆市大观区集贤南路八佰伴商城5楼5003小龙坎老火锅,,安庆店,2816,30.5228082595,117.0467882718,149120,小龙坎老火锅,火锅,http://img3.mwfile.cn/oa/upload/201610/0816/57f8b517c9598.jpg
安庆华茂1958C区2号楼莽子火锅,,安庆店,2867,30.521654129,117.0478363037,188033,莽子火锅,火锅,http://img3.mwfile.cn/oa/upload/201709/1410/59b9e8d831031.jpg
安徽省安庆市迎江区菱湖南路与渡江路交汇吾悦广场4楼,,吾悦店,3413,30.513298,117.057366,202984,大渝火锅,火锅,https://m.mwfile.cn/mm1003/image/20180223/172525_3bc220e24d.jpg
大观区八佰伴五楼,,八佰伴店,3605,30.5168093,117.04238595,146759,小菜园,新徽菜,http://img1.mwfile.cn/webpic/201707/2516/5976fabc91c8e.jpg
安徽安庆迎江区集贤南路八佰伴5楼餐饮区,,安庆八佰伴店,3591,30.516966,117.042366,236248,富兰克林自助餐厅,自助餐,https://m.mwfile.cn/mm1013/image/20180609/201204_8a94e08a69.jpg!/fwfh/240x180
安徽安庆迎江区菱湖南路新城吾悦广场金街第吾大道A口,,吾悦广场旗舰店,3587,30.513308,117.076965,203014,小龙坎老火锅,火锅,https://m.mwfile.cn/mm1013/image/20171217/184529_4e8b687f91.jpg
迎江区华中路新城吾悦广场内,,新城吾悦店,3476,30.514265,117.07662,145630,德庄魔肚大火锅,火锅,http://img3.mwfile.cn/oa/upload/201608/3013/57c51a58d009a.jpg
迎江区八佰伴餐饮区,,安庆八佰伴店,3597,30.517065,117.0421,147236,韩宫宴,烧烤,https://m.mwfile.cn/mm1003/image/20180408/163918_48ea9ec1f3.jpg
